,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Butaritari,85,KI,1569982995,66,3.07,172.79,85.17,9.95
1,Puerto Baquerizo Moreno,32,EC,1569982996,86,-0.9,-89.6,68.97,13.13
2,Tasiilaq,98,GL,1569982997,69,65.61,-37.64,35.6,20.8
3,Mahebourg,40,MU,1569982998,88,-20.41,57.7,73.0,5.82
4,Vanimo,60,PG,1569983000,70,-2.67,141.3,81.64,6.76
5,Hermanus,100,ZA,1569983001,85,-34.42,19.24,57.99,5.99
6,Bundaberg,40,AU,1569983002,50,-24.87,152.35,77.0,19.46
7,Albany,90,US,1569982998,78,42.65,-73.75,73.99,8.05
8,Rincon,40,PA,1569983004,100,8.46,-82.28,75.2,2.24
9,Cabo San Lucas,40,MX,1569982973,73,22.89,-109.91,79.0,10.29
10,Chuy,100,UY,1569983007,99,-33.69,-53.46,61.61,0.58
11,Ribeira Grande,75,PT,1569983008,83,38.52,-28.7,73.4,35.57
12,Punta Arenas,20,CL,1569983009,80,-53.16,-70.91,39.2,20.8
13,Rikitea,100,PF,1569983010,85,-23.12,-134.97,68.82,20.98
14,Tuktoyaktuk,90,CA,1569983011,93,69.44,-133.03,37.4,9.17
15,Luanda,40,AO,1569983013,94,-8.83,13.24,73.4,5.82
16,Saint-Ambroise,90,CA,1569983014,100,48.56,-71.32,43.0,4.7
17,Ayan,0,IR,1569983015,39,38.23,44.7,43.73,4.5
18,Port Blair,45,IN,1569982893,72,11.67,92.75,81.59,2.19
19,Avarua,44,CK,1569983017,60,-21.21,-159.78,75.2,14.99
20,Nouadhibou,40,MR,1569983019,93,20.93,-17.03,64.4,10.29
21,Hilo,20,US,1569983020,58,19.71,-155.08,84.2,5.82
22,Ust-Kuyga,100,RU,1569983021,76,70.0,135.55,27.77,31.74
23,Busselton,88,AU,1569983022,37,-33.64,115.35,68.0,7.4
24,Tamasopo,97,MX,1569983024,98,21.92,-99.39,66.12,4.94
25,Ilulissat,48,GL,1569983025,39,69.22,-51.1,44.6,18.34
26,Bluff,100,AU,1569983026,57,-23.58,149.07,73.0,17.05
27,Prainha,36,BR,1569983027,58,-1.8,-53.48,80.0,3.69
28,Hobart,0,AU,1569982986,39,-42.88,147.33,66.99,10.29
29,Cape Town,0,ZA,1569982931,93,-33.93,18.42,60.01,2.24
30,Georgetown,20,GY,1569983031,88,6.8,-58.16,78.8,4.45
31,Jamestown,0,AU,1569983032,15,-33.21,138.6,83.44,22.28
32,Tchamba,100,TG,1569983033,97,9.03,1.42,70.82,1.63
33,Vaini,75,IN,1569983035,100,15.34,74.49,68.0,1.43
34,Mataura,98,NZ,1569983036,72,-46.19,168.86,48.0,15.01
35,Sao Miguel do Araguaia,0,BR,1569983037,51,-13.28,-50.16,78.65,2.42
36,Clyde River,90,CA,1569983038,100,70.47,-68.59,35.6,9.17
37,Magan,37,OM,1569983039,74,24.42,56.58,86.0,10.29
38,Anjad,100,IN,1569983041,81,22.04,75.06,76.8,3.09
39,Matara,46,BI,1569983042,77,-3.48,29.48,60.47,3.12
40,Stephenville,90,CA,1569983043,60,48.55,-58.59,42.8,4.7
41,Barrow,54,AR,1569983044,90,-38.31,-60.23,39.68,5.91
42,Ushuaia,40,AR,1569982962,92,-54.81,-68.31,37.4,8.05
43,Novyy Urengoy,100,RU,1569983046,96,66.08,76.63,37.83,8.59
44,Leningradskiy,100,RU,1569983048,94,69.38,178.42,34.19,24.56
45,Mar del Plata,38,AR,1569983049,38,-46.43,-67.52,42.13,6.89
46,Saint-Philippe,90,CA,1569983050,100,45.36,-73.48,66.0,6.93
47,Namatanai,94,PG,1569983051,79,-3.66,152.44,79.7,4.21
48,Upernavik,100,GL,1569983052,61,72.79,-56.15,35.88,8.16
49,Saldanha,31,PT,1569983054,90,41.42,-6.55,52.17,6.55
50,Puerto Ayora,59,EC,1569983055,92,-0.74,-90.35,68.0,5.01
51,Cotonou,40,BJ,1569983056,88,6.37,2.43,78.8,8.05
52,Iqaluit,20,CA,1569983057,86,63.75,-68.52,33.8,2.24
53,Margate,0,AU,1569983058,39,-43.03,147.26,66.99,10.29
54,Kurilsk,0,RU,1569983060,82,45.23,147.88,59.27,9.57
55,Saint-Pierre,97,FR,1569983061,100,48.95,4.24,55.99,11.41
56,Shaunavon,0,CA,1569983062,88,49.65,-108.41,26.0,9.62
57,Port Alfred,0,ZA,1569983063,90,-33.59,26.89,54.0,1.99
58,Arraial do Cabo,0,BR,1569983064,79,-22.97,-42.02,67.37,24.94
59,Saint George,0,GR,1569983066,82,39.45,22.34,62.6,0.89
60,Kabansk,100,RU,1569983067,55,52.06,106.65,37.4,2.24
61,Victoria,75,BN,1569982825,94,5.28,115.24,80.6,1.12
62,Campbell River,75,CA,1569983069,93,50.02,-125.24,53.6,2.24
63,Lebedyn,0,UA,1569983070,87,50.58,34.48,47.12,7.76
64,Qasigiannguit,28,GL,1569983071,39,68.82,-51.19,44.6,18.34
65,Basco,75,US,1569983073,83,40.33,-91.2,82.0,6.93
66,Havre-Saint-Pierre,90,CA,1569982869,86,50.23,-63.6,37.4,8.05
67,Sorong,28,ID,1569983075,77,-0.86,131.25,85.08,0.68
68,Norrkoping,33,SE,1569983076,93,58.59,16.18,41.0,5.82
69,Laem Sing,40,TH,1569983077,83,12.48,102.07,91.0,3.36
70,Dakar,40,SN,1569983079,88,14.69,-17.45,80.6,11.41
71,Whitehorse,75,CA,1569983080,66,60.72,-135.06,50.0,17.22
72,Huarmey,92,PE,1569983081,92,-10.07,-78.15,61.41,17.67
73,Kapaa,20,US,1569983082,66,22.08,-159.32,86.0,17.22
74,Chokurdakh,100,RU,1569983083,89,70.62,147.9,27.19,22.95
75,Yantai,58,CN,1569983084,67,37.53,121.39,74.17,9.26
76,College,90,US,1569983016,81,64.86,-147.8,44.6,3.47
77,Qaanaaq,100,GL,1569983087,96,77.48,-69.36,32.46,8.1
78,Svetlogorsk,40,RU,1569983088,80,53.14,59.15,33.8,8.95
79,Yellowknife,40,CA,1569983089,86,62.45,-114.38,39.2,3.36
80,Abonnema,80,NG,1569983090,89,4.71,6.79,75.99,3.85
81,Luderitz,0,NA,1569983091,81,-26.65,15.16,53.6,3.36
82,Okakarara,69,NA,1569983093,16,-20.59,17.46,51.69,7.2
